tmdb_id,title,original_title,release_date,origin_country,language,genres,keywords,runtime,short_summary,tagline,status,budget,revenue,production_companies,production_countries,poster_url,backdrop_url,homepage,trailer_url,imdb_id,wikidata_id,instagram_id,instagram_url,twitter_id,twitter_url,facebook_id,facebook_url,popularity,vote_average,vote_count
1217192,Arap Kadri,Arap Kadri,2024-04-19,TR,tr,"Comedy, Adventure","tarzan, based on cartoon, adventure comedy",,"Arap Kadri, fond of his freedom, is an unruly man who lives in the forest. The same forest where Tarzan establishes order, creatures try to live an orderly life. Kadri cannot adapt to city life, throwing a wrench into the regular life he encounters in the forest. This situation causes a conflict between him and Tarzan.",,Released,,,"PH7 Entertainment, DMC Cinematografica, netd",Turkey,https://image.tmdb.org/t/p/w500/pnC5aHruRapM86MX9UUWLVgRPnn.jpg,https://image.tmdb.org/t/p/original/h0tUL2cfraSIw1jkqegTEZmnm62.jpg,,,tt29551250,,,,,,,,0.59,3.5,2
1008393,Snow and the Bear,Kar ve Ayı,2022-09-10,TR,tr,Drama,,93,"A young nurse starts a new assignment in a small isolated village in the farthest reaches of Turkey, a place that seems asleep in an endless winter. A thick layer of snow covers the souls as well as the lands. But under the snow, unspeakable secrets hibernate.",,Released,,,"nefes'films, Albino Zebra Film, Set Sail Films","Germany, Serbia, Turkey",https://image.tmdb.org/t/p/w500/f7N22qZ18hrX3F8OEoJbdbR78pE.jpg,https://image.tmdb.org/t/p/original/9ZbCo0Br5zrHYmrZbUT2QsPpZjH.jpg,,https://www.youtube.com/watch?v=l3bQ-7gNzc4,tt21612768,Q121288695,,,,,,,0.6,6.9,17
1579183,MozikMoro,MozikMoro,2024-12-06,TR,en,"Documentary, Family, Comedy, Adventure","telephone, family, grandmother, school project, film director, personal, experimental documentary, comedy",16,"Faced with an assignment to film something personal, Cem begins a quiet search for what that really means. A casual conversation with a close friend leads him to turn the camera toward the people who already shape his life. Through moments with his grandmother, spontaneous talks about family, and reflections on his dream of becoming a filmmaker, MozikMoro slowly transforms into a portrait of connection and self discovery. Between the ordinary and the intimate, Cem captures a world that is both d",I want to shoot something personal.,Released,300,400,Dede Productions,Turkey,https://image.tmdb.org/t/p/w500/jiIyayoezqKnqMzfM4T0qcqOBdP.jpg,https://image.tmdb.org/t/p/original/oSYNmP9UXYb5V7xpSt8xhTrGs3c.jpg,,,,,,,,,,,0.35,0.0,0
1501698,Son Sefer,Son Sefer,2025-07-15,TR,tr,"Action, Drama",,126,"A driver with hours left until retirement, an engineer who is the silent hero of the sky and passengers... All in the same vehicle, but in different lives. On the night of July 15, an ordinary journey turns into the route of destiny.",,Released,,,TRT,Turkey,https://image.tmdb.org/t/p/w500/uRF5r1WdbdcMy3SaS5By6KjL27J.jpg,https://image.tmdb.org/t/p/original/auMOO640e3g8LRyGUJPIaMvU1r6.jpg,,https://www.youtube.com/watch?v=jKoUnbkjk5k,tt37592640,,,,,,,,0.54,4.5,2
920394,My Father's Violin,Babamın Kemanı,2022-01-21,TR,tr,"Drama, Music",,112,"Through their shared grief and connection to music, an orphaned girl bonds with her emotionally aloof, successful violinist uncle.",,Released,,,BKM,Turkey,https://image.tmdb.org/t/p/w500/bwvoSRyXRRqtpvoHYhySQk2U4EM.jpg,https://image.tmdb.org/t/p/original/ljJaDl3RdcNdSuQVa2ScdNZOF1L.jpg,,https://www.youtube.com/watch?v=ZyhWDaS8YYE,tt14369276,Q110638017,,,,,,,0.68,7.9,338
683230,İris,İris,2020-01-24,TR,tr,Documentary,"human rights, lgbt, lgbt activist, queer activism",20,"Biographical trans documentary film in which Iris Mozalar, a young artist, shares her diversity of being a bisexual transgender woman, the process of creating herself and her reflections against society.",,Released,,,,Turkey,https://image.tmdb.org/t/p/w500/vSn5laIwcmGD30dUaYBmfdSkBhF.jpg,https://image.tmdb.org/t/p/original/6vL6OwYUA0GKJfpNB3kCaXNU9a0.jpg,,,tt11468820,,,,,,,,0.48,9.5,2
799020,Hey There!,Seni Buldum Ya!,2021-03-13,TR,tr,Comedy,,82,"Istanbul is under quarantine. Felek and Kerim find the best way to make profits in this period. They will access people's computers and introduce themselves as government officials, making them confess their ""crimes"". However, the city in question is Istanbul and all kinds of people live here.",,Released,,,Atlantik Film,Turkey,https://image.tmdb.org/t/p/w500/c3jsmFjBxPRgJlg9AqI7kgY8IEb.jpg,https://image.tmdb.org/t/p/original/dRjArFKEh4MczXzMjRWJQ4WQULq.jpg,,https://www.youtube.com/watch?v=vy52S-eUWAw,tt12516292,Q109831052,,,,,,,0.67,5.0,17
1237036,Peace with Life,Hayatla Barış,2024-02-23,TR,tr,Drama,,,"The story of Barış Telli, who suffered an unfortunate accident at a young age and, through his intense struggle after the accident, became not only a member of the Amputee Football National Team but also one of the most inspiring athletes in the country's history.",,Released,,,Medyadoor Films,Turkey,https://image.tmdb.org/t/p/w500/zZj08mNoI4K5OFOSZNRHdAikVlV.jpg,https://image.tmdb.org/t/p/original/sqGTko3t7Xa4PAWs204pBACgNva.jpg,,,tt25785988,,hayatlabarisfilm,https://www.instagram.com/hayatlabarisfilm/,,,,,0.63,6.5,4
1029480,Cânn,Cânn,2022-09-16,TR,tr,"Horror, Thriller, Drama","spirituality, family drama, evil spirits",,"Beren is a young girl preparing for her university entrance exams. After returning from a camp she attended, Beren suddenly falls ill. At this time, her father Salih is abroad for work, and her stepmother Nurdan, who loves her like her own daughter, calls her brother Doğu to stay with them, thinking it will be good for her. However, shortly after Doğu and his wife Nergis arrive, events unfold that will deeply affect everyone's lives. Because Beren has become physically and psychologically ill du",,Released,,,Cihangir Yapim,Turkey,https://image.tmdb.org/t/p/w500/3wpx6vxMbdAJhtGzlYUYaIsLoJJ.jpg,https://image.tmdb.org/t/p/original/cnafSdgENUBZ1qhEjqAJ4TUziXQ.jpg,,,tt22051880,,cannfilmi,https://www.instagram.com/cannfilmi/,cannfilmi,https://twitter.com/cannfilmi,,,0.42,0.0,0
710277,Life,Hayat,2023-12-15,TR,tr,Drama,,193,"Hicran runs away from home when she is forced into an engagement with Rıza by her father. Rıza, who thinks that Hicran doesn't want to be with him, doesn't care at first. But when it begins to bother him, he decides to confront the situation and embarks on a long search for her in Istanbul.",,Released,,,"Mavi Film, Klas Film","Bulgaria, Turkey",https://image.tmdb.org/t/p/w500/ga6MOnxYa5e0bF30TJOsdqO1j18.jpg,https://image.tmdb.org/t/p/original/to0MAYz8Y27B4gq8X4EzzsFjG2N.jpg,,https://www.youtube.com/watch?v=4MPAbrvQxQA,tt20258974,Q129944842,,,,,,,0.49,6.9,28
646955,Stuck Apart,Azizler,2021-01-08,TR,tr,"Comedy, Drama",,96,"Entrenched in a midlife crisis, Aziz seeks solace from his mundane job, lonesome friends and rowdy family while pretending to have his act together.",,Released,,,Imaj Film,Turkey,https://image.tmdb.org/t/p/w500/wMVAcoYtfQuoEBxtZhCJAAJTafE.jpg,https://image.tmdb.org/t/p/original/uG6VVzU97dqIpZg1o39oHgJpvOq.jpg,https://www.netflix.com/title/81345777,,tt11213372,Q85968406,,,,,,,0.61,6.0,64
