tmdb_id,show_title,season_number,season_name,air_date,episode_count,overview,poster_url,season_id
196847,Guilty Minds,1,Season 1,2022-04-22,10,,https://image.tmdb.org/t/p/w500/7nEMDcPf5ft9CHdsgESgMKjXtQl.jpg,286351
100612,Special Ops,0,Specials,2021-11-12,4,"After the 2001 Parliament attack, a young and idealistic R&AW officer had a theory. In 2003, he had a mystery. This is the story of Himmat Singh.",https://image.tmdb.org/t/p/w500/aSxFKLMCcz3TZw45DXIiCBIGkXU.jpg,246024
100612,Special Ops,1,Season 1,2020-03-17,8,"A relentless hero and a terror mastermind are engaged in a high-stakes race against time, as Himmat Singh and his team embark on a mission to end a 19-year-long manhunt.",https://image.tmdb.org/t/p/w500/1GM27TylXMumUn4enZg7DbFkiaX.jpg,145440
100612,Special Ops,2,Season 2,2025-07-18,7,The second season of Special Ops is an open battle between Menon’s Himmat Singh and the antagonist Tahir Raj Bhasin. The show begins with the abduction of a renowned scientist who can access critical government domains using AI. Bhasin’s motive with this abduction is not destruction or terrorism but,https://image.tmdb.org/t/p/w500/vvbYZXGnaHVSuoUwpxBwEaHGINL.jpg,456836
156714,Guns & Gulaabs,1,Season 1,2023-08-18,7,"In the cartel-run town of Gulaabgunj, an unprecedented opium deal pulls a big-city cop and a lovesick mechanic into its chaotic clutches.",https://image.tmdb.org/t/p/w500/tqnM3ER0HdBijf9YNrMMWCxydUp.jpg,242190
296534,The Society,1,Season 1,2025-07-21,20,"Ek Vault, 25 Contestants, 200 Ghante, Aur Bas Ek Rule: Survival 💪",https://image.tmdb.org/t/p/w500/1FtO7O28hdyybINKPmkF7tNZjmn.jpg,466422
296534,The Society,2,Season 2,2026-03-09,22,"The stakes are higher, the acts more daring. Now Royals, Regulars and Rags shift the focus from mere endurance to economic dominance in this 250-hour game.",https://image.tmdb.org/t/p/w500/rqfW4TLkO8zZnJm4njLu2cRiMd5.jpg,506778
256820,Sisters,1,Season 1,2022-09-22,13,,https://image.tmdb.org/t/p/w500/4xXfpanbOlJREE0CquL9HSTd0fh.jpg,398338
256820,Sisters,2,Season 2,2024-10-22,13,,https://image.tmdb.org/t/p/w500/cLtkpiA4LfQofojywFZuX7XjzWs.jpg,424593
242145,Savdhaan India: Apni Khaki,1,Season 1,2023-09-26,137,"Delving into the psyche of vicious criminals, the police go in-depth to unravel the mysteries of a crime. And the chase is as harrowing as it gets.",https://image.tmdb.org/t/p/w500/oJeSgqdfOgAplrlgS7eXVy26KXw.jpg,371189
242145,Savdhaan India: Apni Khaki,2,Season 2,2024-03-04,70,,,440833
123888,Rudra: The Edge Of Darkness,1,Season 1,2022-03-04,6,"To catch the criminals, who hide away from the light, DCP Rudraveer Singh plunges into the darkness. When Rudraveer enters the darkness, everything and everyone afraid of the light will have to beware.",https://image.tmdb.org/t/p/w500/pTSaXvq2gOvyaoU4LtKyncQjxKm.jpg,191594
304018,Abhiraj Rajadhyaksha,1,Season 1,2022-01-01,53,,https://image.tmdb.org/t/p/w500/mUKMhRZMiCRq9qG8lcHIyV4Wc50.jpg,481909
120648,Desi Tadka,1,Season 1,2020-10-18,3,,https://image.tmdb.org/t/p/w500/wx2Fh4nfAS5amma0XMdVRbhu1Fc.jpg,185681
120648,Desi Tadka,2,Season 2,2020-12-26,3,,https://image.tmdb.org/t/p/w500/kiejkQUhuH4wYfRn9Isq9lwOBBc.jpg,185682
310695,Lakshmi Niwas,1,Season 1,2026-01-12,79,,https://image.tmdb.org/t/p/w500/tNg7sjK1OT9UIql5PKzUtNKcnQn.jpg,494180
315036,Sangamarmar,1,Season 1,2026-02-26,29,,https://image.tmdb.org/t/p/w500/5p9c0O08LRxl0lLWTb6hcAbAmXE.jpg,502475
230034,Kohrra,1,Season 1,2023-07-15,6,"When an NRI bridegroom is found dead days before his wedding, two cops must unravel the troubling case as turbulence unfolds in their own lives.",https://image.tmdb.org/t/p/w500/ihrTT2oRREFrDDiDi056HLRDzgH.jpg,347720
230034,Kohrra,2,Season 2,2026-02-11,6,"A woman separated from her husband is found brutally murdered in her brother’s home and the case brings together the recently transferred Garundi with his new boss, the no-nonsense Dhanwant Kaur. But the two investigators soon realize that what’s as complicated as the case are the entanglements in t",https://image.tmdb.org/t/p/w500/m1tzz8FMyvon7PRW5ABP6Qd5F6n.jpg,496455
281309,Chidiya Udd,1,Season 1,2025-01-15,8,,,436620
261545,The Royals,1,Season 1,2025-05-09,8,,https://image.tmdb.org/t/p/w500/nnD4364ToXZwDpFWEnY94xzykIs.jpg,406393
103368,Illegal,1,Season 1,2020-05-12,10,,https://image.tmdb.org/t/p/w500/s6VYaNzpGeYjRoDGFLznFJdhqwZ.jpg,150616
